step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
28,15575.986850999514,55.759868509995144,56.63114079578826,3.7947774624048196,-1.4716371147798224,94.39422452009725,83.33333333333334,6,6,GS,21
28,15386.262180829766,53.86262180829766,54.72503337111796,3.6945046125137537,-1.4716371147798113,90.85330840838641,83.33333333333334,6,6,GS,1
21,14245.928931702674,42.45928931702674,52.77328232619061,3.6177714286497618,0.0,70.03415214407444,75.0,6,8,GS,21
14,14696.864478811083,46.96864478811082,50.75665121376136,3.3058704769667053,-5.824303588713997,87.77613729813403,72.72727272727273,9,11,GS,7
28,14830.183060908228,48.30183060908229,59.84019370387863,3.09550473092359,-1.2012458258986114,80.60084079658829,66.66666666666666,5,6,GS,14
14,14188.87061207382,41.888706120738206,50.39605882799736,3.063298818523917,-5.824303588714008,77.2727169959445,72.72727272727273,9,11,GS,1
21,14016.113299723169,40.1611329972317,43.167515577595864,3.029523136222294,-1.8571882825783481,65.93629889915076,62.5,6,8,GS,1
21,13362.360980019565,33.62360980019565,56.66352758750526,2.8356796320085573,-0.6348805833829019,54.463118917302246,62.5,6,8,GS,14
21,14127.118005798551,41.27118005798551,53.381394667195536,2.8122381893798614,-1.857188282578337,67.91146830930062,62.5,6,8,GS,7
7,13388.421873198738,33.88421873198739,47.27710462108736,2.769899089819208,-4.634476040788227,61.20383273398162,40.909090909090914,14,22,GS,7
28,13573.03322293182,35.730332229318186,52.98097269477464,2.6442396366296856,-1.4716371147798113,58.13039951819026,66.66666666666666,5,6,GS,7
21,12638.198738329931,26.38198738329931,48.23164035226721,2.2373249686715453,-0.008903324749587327,42.078306101166696,50.0,5,8,GS,28
14,12110.442496846621,21.104424968466205,49.211851111234786,2.2271380265747966,-5.824303588714008,36.798085500653244,54.54545454545454,8,11,GS,21
7,11766.836182098436,17.668361820984344,59.47570079210822,2.2220899396095892,-3.6723137739595124,29.002403721067573,26.08695652173913,11,23,GS,28
7,11952.059499843008,19.520594998430084,43.92115677260862,2.1571920737315042,-4.324665066059918,33.88270989499269,36.36363636363637,13,22,GS,21
7,12589.334854763943,25.893348547639427,44.46225388621448,2.0920111292157006,-7.677465469384814,45.76085973513291,45.45454545454545,16,22,GS,1
28,12543.546536871698,25.43546536871697,55.14560293989235,1.950464085850229,-1.5554117973200277,40.485181888293866,50.0,4,6,GS,28
14,11480.509390411986,14.80509390411986,55.50594432311626,1.5349041896145552,-4.408954532909204,23.01037351520523,33.33333333333333,6,12,GS,28
7,11085.816953217478,10.858169532174777,45.05596482822818,1.3367638212040185,-7.271704764730147,18.373977819438903,31.818181818181817,12,22,GS,14
14,10459.252181719949,4.592521817199491,48.5218910576489,0.7056170170887665,-5.823659477438015,7.624247749143631,27.27272727272727,5,11,GS,14
1,9417.34219368463,-5.826578063153698,-0.00021208656540983029,-12.70897298693074,-5.826578063153698,-9.414546843490557,0.0,60,153,GS,14
1,9351.607050137887,-6.483929498621133,-0.00012035659409104227,-13.806728877590329,-6.390344175445694,-10.325972208963885,0.0,67,155,GS,28
1,9332.924722252277,-6.6707527774772295,-0.00012107657323401355,-14.340397990802131,-6.6707527774772295,-10.748095548114367,0.0,69,153,GS,21
1,9277.069907163494,-7.229300928365068,-0.0002200245916350596,-15.821502410046373,-7.13646152859898,-11.84434165204019,0.0,75,150,GS,1
1,9249.273717226004,-7.507262827739957,-0.00017973936137227753,-16.244200479478227,-7.414701595716,-12.136192061911888,0.0,78,152,GS,7
