symbol,lookback,horizon_step,mape,mae
AAPL,1,1,0.9282487905717004,2.1925384615384593
ABBV,1,1,1.0320528204441204,2.178463576158939
AMGN,1,1,1.1107848776227658,3.3207352941176485
AMD,1,1,2.4124495297473674,4.601921568627452
