horizon_step,mae,rmse,mape,n_samples,symbol,lookback
1,4.601921568627452,7.018831328339945,2.4124495297473674,153,AMD,1
1,6.442025806451611,10.768638326476173,3.3037679341176256,155,AMD,7
1,6.800901960784312,11.14402995658225,3.5645965111765014,153,AMD,14
1,7.2187908496732005,12.551238252847348,3.7652201299281,153,AMD,21
1,8.604367741935484,14.828576760931531,4.4643250076714445,155,AMD,28
7,12.713823529411766,18.490687048780735,6.627810289806018,153,AMD,1
7,14.428006451612905,20.60660005998704,7.424460899357148,155,AMD,7
7,14.84814379084967,21.180784090604636,7.705526382812114,153,AMD,14
7,14.995993464052289,21.093963296379837,7.834640123510026,153,AMD,21
7,16.12707741935484,23.344761157277294,8.316498899584795,155,AMD,28
14,21.328915032679735,27.895248728428918,10.70592215966796,153,AMD,1
14,23.09986274509804,30.309138424884722,11.59483518985062,153,AMD,14
14,23.51596129032258,31.486980393848196,11.705179737356376,155,AMD,7
14,23.196039215686277,29.923834306146322,11.829905074486598,153,AMD,21
14,24.071761290322577,31.567303677452653,12.201570056945602,155,AMD,28
21,30.47788888888889,37.89622846109047,15.040240192866722,153,AMD,1
21,31.21635947712418,38.756810499550134,15.505790049520849,153,AMD,21
21,31.686627450980392,39.897250481542315,15.631518827829405,153,AMD,14
21,32.51305806451613,40.71480139545037,15.98702781799785,155,AMD,28
21,34.18285161290323,43.99184983695752,16.688991857094862,155,AMD,7
28,35.638052287581694,45.48559137972594,17.307111853306036,153,AMD,14
28,36.56043137254902,43.38696499861277,17.886533834191766,153,AMD,1
28,36.64766013071896,45.038529548402806,18.017973843626113,153,AMD,21
28,38.50472258064516,47.34798534011497,18.648767737330967,155,AMD,28
28,43.273399999999995,54.83004815533294,20.888881836817685,155,AMD,7
